,traveled_kilometers,production_year,color,exhibition,adـtype,name_brand,car_name,fuel,engine_status,chassis_status,front_chassis,rear_chassis,body_status,insurance,gearbox,exchange,price
21,400000.0,1381.0,خاکستری,,,پراید صندوق‌دار CNG,pryd Sndwqdr CNG,دوگانه‌سوز دستی,سالم,سالم و پلمپ,,,دوررنگ,1.0,دنده‌ای,هستم,103000000.0
22,490000.0,1385.0,سفید,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,9.0,,,135000000.0
23,15000.0,1401.0,مشکی,,فروشی,دیگنیتی,dygnyty,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,اتوماتیک,هستم,900000000.0
0,265000.0,1388.0,نقره‌ای,,فروشی,پراید صندوق‌دار LPG,pryd Sndwqdr LPG,دوگانه‌سوز دستی,سالم,سالم و پلمپ,,,خط و خش جزیی,,,هستم,189000000.0
1,200000.0,1390.0,سفید صدفی,,,پژو 206 تیپ ۳,pjw 206 typ 3,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,6.0,دنده‌ای,,285000000.0
2,0.0,1402.0,سفید,,,ساینا دنده‌ای S,syn dndhy S,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,290000000.0
3,0.0,1402.0,مشکی,,فروشی,فونیکس تیگو 7 پرو,fwnykhs tygw 7 prw,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,890000000.0
4,186000.0,1389.0,سفید,,,سمند LX ساده,smnd LX sdh,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,8.0,دنده‌ای,,243000000.0
5,21000.0,1401.0,خاکستری,,فروشی,رانا پلاس,rn pls,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,هستم,495000000.0
6,120000.0,1394.0,نوک‌مدادی,,,پراید 111 SE,pryd 111 SE,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,6.0,دنده‌ای,هستم,233000000.0
7,0.0,1401.0,سفید,,فروشی,کوییک اتوماتیک S,khwyykh twmtykh S,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,هستم,380000000.0
8,0.0,1402.0,سفید,,,کوییک دنده‌ای R,khwyykh dndhy R,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,33500000.0
9,185000.0,1396.0,سفید,,فروشی,ام‌وی‌ام X33 S اسپرت,mwym X33 S sprt,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,5.0,اتوماتیک,,780000000.0
10,192000.0,1392.0,نوک‌مدادی,,,سمند LX EF7 بنزینی,smnd LX EF7 bnzyny,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,9.0,دنده‌ای,هستم,280000000.0
11,227500.0,1396.0,سفید,,فروشی,پژو پارس LX TU5,pjw prs LX TU5,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,هستم,450000000.0
12,223000.0,1390.0,خاکستری,,,پراید 131 SL,pryd 131 SL,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,193500000.0
13,270000.0,1386.0,بژ,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,160000000.0
14,49000.0,1397.0,سفید,,,برلیانس H220 دنده ای,brlyns H220 dndh y,,سالم,سالم و پلمپ,,,خط و خش جزیی,,دنده‌ای,,465000000.0
15,280000.0,1392.0,آبی,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,1.0,دنده‌ای,,207000000.0
16,55000.0,1397.0,مشکی,,,پژو 207i اتوماتیک,pjw 207i twmtykh,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,اتوماتیک,,633000000.0
17,70000.0,1397.0,خاکستری,,فروشی,پژو 206 تیپ ۵,pjw 206 typ 5,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,دنده‌ای,,438000000.0
